,
Bark,Activation
I see you are a warrior of XXX!,High
TRUE GENIUS! You have unlocked the full potential of XXX!,High
I find your lack of XXX distrubing,Low
Success is certain with a XXX milieau,high
XXX is my favourite colour,high
I doubt your overcommitment to XXX,high
You've sent XXX to the moon!,high
Personally I would've added more XXX. But that's just me.,low
Amazing! You can't have a real Face Offâ„¢ without XXX,high
What a clash between XXX and YYY,2 high
You've reached dangerously low levels of XXX,low
You've reached dangerously high levels of XXX,high
Tests have concluded an extreme XXX presence,high
Maybe chill out on the XXX next time?,high
A little more XXX would've been perfect,high
I've been weening myself off XXX,high
I wish I had more XXX,high
XXX... Should I be impressed?,high
I'm suprised you found XXX,high
Hey maybe less XXX is actually more?,low
I think you've run out of XXX,high
You've used all the XXX,high
The price of XXX has cratered,low
I like to spread XXX on toast,random?
Stupendus use of XXX,high
I can't imagine XXX and YYY being complimentary,random?
"Oh XXX, how delectable",high
Seems you prefer XXX over YYY,difference
Very XXX-y,high
I'll have to try XXX and YYY sometime,2 high
I think I watched a movie about XXX,high
I would've expected more XXX,low
And a slight hint of XXX. How Wonderful.,low
I'd buy a XXX perfume,high
I often ponder XXX,high
The best offense is XXX,high
Wow how'd you fit in so much XXX?,high
Just a dash of XXX. Lovely.,low
Like bread and XXX,high
I think you lost some XXX,low
I hope all that XXX is cathartic,high
I expected that much XXX to be bigger,high
Just a big ball of XXX how crude,high
I could fit that much XXX between my teeth,low
All that XXX makes me want to dance,high
All that XXX makes me want to cry,high
Too much XXX. Just too much.,high
Now that's some XXX I can get behind,high
Really XXX AND YYY?,2 high
I think that's the most XXX I've ever seen,high
King Tiki approves of XXX,high
I bet all that XXX cost a pretty penny,high
Now this mask exudes XXX,high
This mask showcases great XXX,high
Mmhmmh yummy XXX,high
I sense extensive XXX,high
I hope all that XXX isn't meaningless,high
That much XXX is embarrassing,high
Are you sponsered by XXX or something,high
Lots of XXX is a great choice,high
I couldn't imagine XXX without YYY,2 high
And some XXX hors d'oeuvres,high
"If I had that much XXX, I wouldn't have to be here",high
By the grace of XXX you go,high
"That's it, grab life by the XXX",high
Would you like some tea with your XXX?,high
Would you like some coffee with your XXX?,high
I've always said masks needed more XXX,high
Excellent use of XXX,high
A suprising amount of XXX,high
Heavily indexed into XXX,high
Now that's a lot of XXX,high
Discover the power of XXX,high
Save some XXX for the rest of us,high
Finally a mask full of XXX,high
A great repersentation of XXX,high
It really captures the essence of XXX,high
"XXX, just like mom used to make",high
I hope you can handle that level of XXX,high
I hope you know all that XXX doesn't roll over,high
I personally think XXX is overrated,high
I personally think XXX is underrated,high
"XXX, a truly Machiavellian choice",high
I totally forgot about XXX,high
I used to have a dog named XXX,high
Are you sure about that much XXX?,high
You're the first person to combine XXX and YYY,2 high
Just a little more XXX and you would've unlocked the secret level,high
With XXX you can do anything!,high
My doctor says I need more XXX,high
Maybe skim some XXX off the top,high
That masks oozes XXX,high
It's the perfect repersentation of XXX,high
That radiates a dark XXX energy,high
Prophecy foretold a mask of such XXX,high
XXX is exactly why I brought you here,high
YOU HAVE REACHED MAXIMUM XXX,high
XXX used to only cost a nickel,high
Your blood will seed the land with XXX,high
This is the rarest line for XXX,high